,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,operating_system,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
93,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
94,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
95,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
96,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
97,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,*,17,1,TangPoem_1
98,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
99,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
100,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
101,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
102,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
103,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,j,18,1,TangPoem_1
